id,descripcion,precio,tipo,oferta
  3,Gigabyte Amd Apu 1.4 GA E2 2500N DDR3 4 Gb 1600 Mhz,13371.0, DESKTOP,0.0
  4,FM2 Msi A68HM E33 Amd Apu A8 7680 3.5 Ghz FM2 DDR3 4 Gb 1600 Mhz,14861.0, DESKTOP,0.0
  6,AM4 Msi A320M PRO M2 V2 Amd Apu A10 9700 3.8 Ghz AM4 DDR4 4 Gb 2400 Mhz,17962.0, DESKTOP,0.0
  7,AM4 Msi A320M PRO M2 V2 Amd Ryzen 3 2200G 3.7 Ghz Vega8 AM4 DDR4 4 Gb 2400 Mhz,18142.0, DESKTOP,0.0
  8,1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz,21136.0, DESKTOP,10568.0
 12,1151 8va Gigabyte GA H310M H Intel Core i3 8100 3.6 Ghz Coffee Lake 1151 DDR4 4 Gb 2400 Mhz,22275.0, DESKTOP,11137.5
 13,1151 8va Gigabyte GA H310M H Intel Core i7 9700F 4.7 Ghz Coffee Lake 1151 Sin Video DDR4 8 Gb 2400 Mhz,45090.0, DESKTOP,22545.0
 14,AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 3400G 4.2 Ghz Vega11 AM4 DDR4 16 Gb 2666 Mhz,68399.0, DESKTOP,34199.5
 15,AM4 Msi A320M PRO M2 V2 Amd Ryzen 5 2600 3.9 Ghz AM4 DDR4 16 Gb 2666 Mhz,67679.0, DESKTOP,33839.5
 16,1151 9na Msi Z390 ACE Intel Core i9 9900K 5.0 Ghz Coffee Lake 1151 Sin Cooler DDR4 32 Gb 2x16 2666 Mhz,168312.0, DESKTOP,84156.0
