id,Dominio,anio
1,234CNY,1995
2,234IDR,1990
3,343CNY,2007
4,KGS765,2003
5,EUR342,2004
6,IDR244,2010
7,USD222,2002
8,MKD333,2011
9,BRL444,2008
10,244GTQ,2005
11,223EUR,2001
12,786EUR,1999
13,753NIO,2008
14,244MXN,2006
15,USD634,1986
16,GMD234,1987
17,MGA345,1998
18,BRL642,1987
19,IDR734,2003
20,IDR345,2011
21,CNY346,1999
22,IDR733,2012
23,ILS245,2008
24,CNY632,2000
25,UAH111,2009
26,909PHP,2008
27,000RUB,2012
28,CNY000,2006
29,UAH345,2002
30,426PHP,2011
31,919CNY,1995
32,CAD919,2010
33,911IDR,1995
34,BRL999,1995
